time, humidity, ambient_temp, m8_temp, m5_temp
2022-04-14_14-08-22, 50.400000, 24.200000, 11.560000, 11.880000
2022-04-14_14-08-26, 50.400000, 24.100000, 11.560000, 11.880000
2022-04-14_14-08-30, 50.500000, 24.200000, 11.560000, 11.880000
2022-04-14_14-08-34, 50.500000, 24.200000, 11.630000, 11.940000
2022-04-14_14-08-38, 50.300000, 24.100000, 11.630000, 12.000000
2022-04-14_14-08-42, 50.300000, 24.200000, 11.690000, 12.000000
2022-04-14_14-08-46, 50.200000, 24.200000, 11.750000, 12.000000
2022-04-14_14-08-50, 50.300000, 24.200000, 11.750000, 12.000000
2022-04-14_14-08-54, 50.200000, 24.100000, 11.750000, 12.060000
2022-04-14_14-08-59, 50.100000, 24.200000, 11.810000, 12.130000
2022-04-14_14-09-03, 50.000000, 24.200000, 11.810000, 12.130000
2022-04-14_14-09-07, 50.200000, 24.200000, 11.880000, 12.130000
2022-04-14_14-09-11, 50.200000, 24.100000, 11.880000, 12.130000
2022-04-14_14-09-15, 50.200000, 24.100000, 11.940000, 12.190000
2022-04-14_14-09-19, 50.100000, 24.100000, 12.000000, 12.190000
2022-04-14_14-09-23, 49.900000, 24.100000, 12.000000, 12.190000
2022-04-14_14-09-27, 50.000000, 24.100000, 12.000000, 12.250000
2022-04-14_14-09-31, 50.000000, 24.100000, 12.000000, 12.250000
2022-04-14_14-09-35, 49.900000, 24.100000, 12.060000, 12.310000
2022-04-14_14-09-40, 49.900000, 24.100000, 12.060000, 12.310000
2022-04-14_14-09-44, 50.000000, 24.100000, 12.060000, 12.310000
2022-04-14_14-09-48, 50.200000, 24.100000, 12.060000, 12.380000
2022-04-14_14-09-52, 50.600000, 24.100000, 12.130000, 12.380000
2022-04-14_14-09-56, 50.900000, 24.100000, 12.130000, 12.440000
2022-04-14_14-10-00, 50.900000, 24.100000, 12.190000, 12.500000
2022-04-14_14-10-04, 51.100000, 24.100000, 12.190000, 12.500000
2022-04-14_14-10-08, 51.100000, 24.100000, 12.250000, 12.500000
2022-04-14_14-10-12, 51.100000, 24.100000, 12.250000, 12.560000
2022-04-14_14-10-17, 51.100000, 24.100000, 12.250000, 12.560000
2022-04-14_14-10-21, 51.100000, 24.100000, 12.310000, 12.630000
2022-04-14_14-10-25, 51.200000, 24.100000, 12.310000, 12.630000
2022-04-14_14-10-29, 51.200000, 24.100000, 12.380000, 12.630000
2022-04-14_14-10-33, 51.100000, 24.100000, 12.380000, 12.690000
2022-04-14_14-10-37, 51.100000, 24.100000, 12.440000, 12.690000
2022-04-14_14-10-41, 51.000000, 24.100000, 12.440000, 12.690000
2022-04-14_14-10-45, 50.900000, 24.100000, 12.440000, 12.690000
2022-04-14_14-10-49, 51.000000, 24.100000, 12.440000, 12.750000
2022-04-14_14-10-54, 51.000000, 24.100000, 12.500000, 12.750000
2022-04-14_14-10-58, 50.800000, 24.100000, 12.500000, 12.810000
2022-04-14_14-11-02, 50.700000, 24.100000, 12.500000, 12.880000
2022-04-14_14-11-06, 51.000000, 24.100000, 12.560000, 12.880000
2022-04-14_14-11-10, 51.000000, 24.100000, 12.560000, 12.940000
2022-04-14_14-11-14, 51.100000, 24.100000, 12.630000, 12.940000
2022-04-14_14-11-18, 51.100000, 24.100000, 12.630000, 12.940000
2022-04-14_14-11-22, 51.100000, 24.100000, 12.630000, 12.940000
2022-04-14_14-11-26, 51.100000, 24.100000, 12.690000, 12.940000
2022-04-14_14-11-30, 51.200000, 24.100000, 12.690000, 12.940000
2022-04-14_14-11-35, 51.300000, 24.100000, 12.690000, 12.940000
2022-04-14_14-11-39, 51.300000, 24.100000, 12.690000, 12.940000
2022-04-14_14-11-43, 51.100000, 24.100000, 12.750000, 12.940000
2022-04-14_14-11-47, 51.200000, 24.100000, 12.750000, 13.000000
2022-04-14_14-11-51, 51.200000, 24.100000, 12.750000, 13.000000
2022-04-14_14-11-55, 51.200000, 24.100000, 12.750000, 13.000000
2022-04-14_14-11-59, 51.200000, 24.100000, 12.880000, 13.130000
2022-04-14_14-12-03, 51.400000, 24.100000, 12.940000, 13.190000
2022-04-14_14-12-07, 51.500000, 24.100000, 12.940000, 13.250000
2022-04-14_14-12-12, 51.500000, 24.000000, 12.940000, 13.190000
2022-04-14_14-12-16, 51.500000, 24.100000, 13.000000, 13.250000
2022-04-14_14-12-20, 51.500000, 24.000000, 13.000000, 13.250000
2022-04-14_14-12-24, 51.500000, 24.000000, 13.060000, 13.310000
2022-04-14_14-12-28, 51.500000, 24.000000, 13.060000, 13.310000
2022-04-14_14-12-32, 51.500000, 24.000000, 13.060000, 13.380000
2022-04-14_14-12-36, 51.400000, 24.000000, 13.060000, 13.380000
2022-04-14_14-12-40, 51.500000, 24.000000, 13.130000, 13.380000
2022-04-14_14-12-44, 51.500000, 24.000000, 13.130000, 13.380000
2022-04-14_14-12-49, 51.400000, 24.000000, 13.130000, 13.380000
2022-04-14_14-12-53, 51.500000, 24.000000, 13.130000, 13.380000
2022-04-14_14-12-57, 51.500000, 24.000000, 13.190000, 13.380000
2022-04-14_14-13-01, 51.500000, 24.000000, 13.190000, 13.380000
2022-04-14_14-13-05, 51.500000, 24.000000, 13.190000, 13.440000
2022-04-14_14-13-09, 51.500000, 24.000000, 13.250000, 13.440000
2022-04-14_14-13-13, 51.500000, 24.000000, 13.250000, 13.500000
2022-04-14_14-13-17, 51.600000, 24.000000, 13.250000, 13.500000
2022-04-14_14-13-21, 51.600000, 24.000000, 13.310000, 13.500000
2022-04-14_14-13-25, 51.600000, 24.000000, 13.310000, 13.500000
2022-04-14_14-13-30, 51.500000, 24.000000, 13.380000, 13.500000
2022-04-14_14-13-34, 51.500000, 24.000000, 13.380000, 13.560000
2022-04-14_14-13-38, 51.300000, 24.000000, 13.440000, 13.630000
2022-04-14_14-13-42, 51.200000, 24.000000, 13.440000, 13.630000
2022-04-14_14-13-46, 51.200000, 24.000000, 13.440000, 13.630000
2022-04-14_14-13-50, 51.200000, 24.000000, 13.440000, 13.630000
2022-04-14_14-13-54, 51.100000, 24.000000, 13.440000, 13.630000
2022-04-14_14-13-58, 51.100000, 24.000000, 13.500000, 13.690000
2022-04-14_14-14-02, 51.100000, 24.000000, 13.500000, 13.690000
2022-04-14_14-14-07, 51.100000, 24.000000, 13.560000, 13.690000
2022-04-14_14-14-11, 51.100000, 24.000000, 13.560000, 13.690000
2022-04-14_14-14-15, 51.100000, 24.000000, 13.560000, 13.750000
2022-04-14_14-14-19, 51.100000, 24.000000, 13.630000, 13.750000
2022-04-14_14-14-23, 51.000000, 24.000000, 13.630000, 13.750000
2022-04-14_14-14-27, 51.000000, 24.000000, 13.630000, 13.810000
2022-04-14_14-14-31, 51.100000, 24.000000, 13.630000, 13.810000
2022-04-14_14-14-35, 51.100000, 24.000000, 13.690000, 13.810000
2022-04-14_14-14-39, 51.000000, 23.900000, 13.690000, 13.880000
2022-04-14_14-14-44, 51.100000, 24.000000, 13.750000, 13.880000
2022-04-14_14-14-48, 51.100000, 24.000000, 13.750000, 13.940000
2022-04-14_14-14-52, 51.100000, 24.000000, 13.750000, 13.940000
2022-04-14_14-14-56, 51.100000, 24.000000, 13.750000, 13.940000
2022-04-14_14-15-00, 51.200000, 24.000000, 13.810000, 13.940000
2022-04-14_14-15-04, 51.200000, 24.000000, 13.880000, 13.940000
2022-04-14_14-15-08, 51.300000, 24.000000, 13.880000, 14.000000
2022-04-14_14-15-12, 51.300000, 24.000000, 13.940000, 14.000000
2022-04-14_14-15-16, 51.300000, 24.000000, 13.940000, 14.000000
2022-04-14_14-15-20, 51.300000, 24.000000, 13.940000, 14.060000
2022-04-14_14-15-25, 51.200000, 24.000000, 13.940000, 14.000000
2022-04-14_14-15-29, 51.100000, 24.000000, 13.940000, 14.060000
2022-04-14_14-15-33, 51.000000, 24.000000, 13.940000, 14.060000
2022-04-14_14-15-37, 51.000000, 24.000000, 14.000000, 14.130000
2022-04-14_14-15-41, 51.000000, 24.000000, 14.000000, 14.130000
2022-04-14_14-15-45, 51.100000, 24.000000, 14.000000, 14.130000
2022-04-14_14-15-49, 51.100000, 24.000000, 14.060000, 14.190000
2022-04-14_14-15-53, 51.100000, 24.000000, 14.060000, 14.250000
2022-04-14_14-15-57, 50.900000, 24.000000, 14.060000, 14.250000
2022-04-14_14-16-02, 50.900000, 24.000000, 14.060000, 14.250000
2022-04-14_14-16-06, 50.900000, 24.000000, 14.130000, 14.250000
2022-04-14_14-16-10, 50.800000, 24.000000, 14.130000, 14.310000
2022-04-14_14-16-14, 50.800000, 24.000000, 14.130000, 14.310000
2022-04-14_14-16-18, 50.800000, 24.000000, 14.190000, 14.310000
2022-04-14_14-16-22, 51.100000, 24.000000, 14.190000, 14.310000
2022-04-14_14-16-26, 51.100000, 24.000000, 14.190000, 14.380000
2022-04-14_14-16-30, 51.200000, 24.000000, 14.190000, 14.380000
2022-04-14_14-16-34, 51.200000, 24.000000, 14.250000, 14.380000
2022-04-14_14-16-38, 51.200000, 24.000000, 14.250000, 14.380000
2022-04-14_14-16-43, 51.200000, 24.000000, 14.310000, 14.440000
2022-04-14_14-16-47, 51.200000, 24.000000, 14.310000, 14.440000
2022-04-14_14-16-51, 51.000000, 24.000000, 14.310000, 14.440000
2022-04-14_14-16-55, 51.000000, 24.000000, 14.380000, 14.440000
2022-04-14_14-16-59, 51.100000, 24.000000, 14.380000, 14.500000
2022-04-14_14-17-03, 51.100000, 24.000000, 14.380000, 14.500000
2022-04-14_14-17-07, 51.000000, 24.000000, 14.440000, 14.500000
2022-04-14_14-17-11, 51.100000, 24.000000, 14.440000, 14.500000
2022-04-14_14-17-15, 51.100000, 24.000000, 14.440000, 14.500000
2022-04-14_14-17-20, 51.100000, 24.000000, 14.440000, 14.630000
2022-04-14_14-17-24, 51.200000, 24.000000, 14.500000, 14.630000
