time, humidity, ambient_temp, m8_temp, m5_temp, dew point
2022-05-01_13-26-15, 45.800000, 25.000000, 16.060000, 16.060000, 12.512910
2022-05-01_13-26-19, 45.800000, 25.000000, 16.190000, 16.120000, 12.512910
2022-05-01_13-26-23, 45.800000, 25.000000, 16.250000, 16.250000, 12.512910
2022-05-01_13-26-27, 45.700000, 25.000000, 16.370000, 16.310000, 12.479590
2022-05-01_13-26-31, 45.700000, 25.000000, 16.500000, 16.370000, 12.479590
2022-05-01_13-26-35, 45.700000, 25.000000, 16.560000, 16.440000, 12.479590
2022-05-01_13-26-40, 45.800000, 25.000000, 16.620000, 16.560000, 12.512910
2022-05-01_13-26-44, 45.700000, 24.900000, 16.750000, 16.620000, 12.388712
2022-05-01_13-26-48, 45.700000, 25.000000, 16.810000, 16.750000, 12.479590
2022-05-01_13-26-52, 45.800000, 25.000000, 16.870000, 16.810000, 12.512910
2022-05-01_13-26-56, 45.800000, 25.000000, 16.940000, 16.870000, 12.512910
2022-05-01_13-27-00, 45.800000, 25.000000, 17.060000, 16.940000, 12.512910
2022-05-01_13-27-04, 45.800000, 25.000000, 17.120000, 17.000000, 12.512910
2022-05-01_13-27-08, 45.800000, 25.000000, 17.120000, 17.060000, 12.512910
2022-05-01_13-27-12, 45.800000, 25.000000, 17.190000, 17.120000, 12.512910
2022-05-01_13-27-17, 45.800000, 24.900000, 17.250000, 17.120000, 12.422009
2022-05-01_13-27-21, 45.800000, 25.000000, 17.250000, 17.190000, 12.512910
2022-05-01_13-27-25, 45.800000, 25.000000, 17.250000, 17.190000, 12.512910
2022-05-01_13-27-29, 45.800000, 25.000000, 17.250000, 17.120000, 12.512910
2022-05-01_13-27-33, 45.800000, 25.000000, 17.250000, 17.120000, 12.512910
2022-05-01_13-27-37, 45.800000, 25.000000, 17.190000, 17.060000, 12.512910
2022-05-01_13-27-41, 45.800000, 25.000000, 17.120000, 17.060000, 12.512910
2022-05-01_13-27-45, 45.800000, 25.000000, 17.120000, 17.000000, 12.512910
2022-05-01_13-27-49, 45.800000, 25.000000, 17.060000, 16.940000, 12.512910
2022-05-01_13-27-54, 45.800000, 25.000000, 17.000000, 16.940000, 12.512910
2022-05-01_13-27-58, 45.800000, 25.000000, 16.940000, 16.870000, 12.512910
2022-05-01_13-28-02, 45.800000, 25.000000, 16.870000, 16.810000, 12.512910
2022-05-01_13-28-06, 45.800000, 25.000000, 16.750000, 16.750000, 12.512910
2022-05-01_13-28-10, 45.800000, 25.000000, 16.690000, 16.620000, 12.512910
2022-05-01_13-28-14, 45.700000, 25.000000, 16.560000, 16.560000, 12.479590
2022-05-01_13-28-18, 45.700000, 25.000000, 16.440000, 16.440000, 12.479590
2022-05-01_13-28-22, 45.700000, 25.000000, 16.370000, 16.370000, 12.479590
2022-05-01_13-28-26, 45.700000, 25.000000, 16.250000, 16.310000, 12.479590
2022-05-01_13-28-30, 45.700000, 25.100000, 16.190000, 16.250000, 12.570464
2022-05-01_13-28-35, 45.700000, 25.000000, 16.120000, 16.120000, 12.479590
2022-05-01_13-28-39, 45.600000, 25.000000, 16.000000, 16.000000, 12.446205
2022-05-01_13-28-43, 45.600000, 25.000000, 15.880000, 15.940000, 12.446205
2022-05-01_13-28-47, 45.700000, 25.100000, 15.810000, 15.810000, 12.570464
2022-05-01_13-28-51, 45.600000, 25.000000, 15.690000, 15.750000, 12.446205
2022-05-01_13-28-55, 45.600000, 25.000000, 15.630000, 15.630000, 12.446205
2022-05-01_13-28-59, 45.600000, 25.000000, 15.440000, 15.500000, 12.446205
2022-05-01_13-29-03, 45.600000, 25.000000, 15.380000, 15.440000, 12.446205
2022-05-01_13-29-07, 45.600000, 25.000000, 15.310000, 15.380000, 12.446205
2022-05-01_13-29-12, 45.600000, 25.000000, 15.310000, 15.310000, 12.446205
2022-05-01_13-29-16, 45.600000, 25.000000, 15.380000, 15.310000, 12.446205
2022-05-01_13-29-20, 45.600000, 25.000000, 15.440000, 15.380000, 12.446205
2022-05-01_13-29-24, 45.600000, 25.000000, 15.500000, 15.440000, 12.446205
2022-05-01_13-29-28, 45.600000, 25.000000, 15.560000, 15.560000, 12.446205
2022-05-01_13-29-32, 45.600000, 25.000000, 15.630000, 15.630000, 12.446205
2022-05-01_13-29-36, 45.600000, 25.000000, 15.750000, 15.690000, 12.446205
2022-05-01_13-29-40, 45.600000, 25.000000, 15.810000, 15.810000, 12.446205
2022-05-01_13-29-44, 45.600000, 25.000000, 15.940000, 15.880000, 12.446205
2022-05-01_13-29-49, 45.600000, 25.000000, 16.060000, 16.000000, 12.446205
2022-05-01_13-29-53, 45.600000, 25.000000, 16.190000, 16.120000, 12.446205
2022-05-01_13-29-57, 45.600000, 25.000000, 16.250000, 16.190000, 12.446205
2022-05-01_13-30-01, 45.600000, 25.000000, 16.370000, 16.250000, 12.446205
2022-05-01_13-30-05, 45.600000, 25.000000, 16.440000, 16.370000, 12.446205
2022-05-01_13-30-09, 45.700000, 25.000000, 16.560000, 16.440000, 12.479590
2022-05-01_13-30-13, 45.700000, 25.000000, 16.620000, 16.500000, 12.479590
2022-05-01_13-30-17, 45.600000, 25.000000, 16.690000, 16.560000, 12.446205
2022-05-01_13-30-21, 45.600000, 25.000000, 16.750000, 16.690000, 12.446205
2022-05-01_13-30-25, 45.600000, 25.000000, 16.870000, 16.750000, 12.446205
2022-05-01_13-30-30, 45.700000, 25.000000, 16.940000, 16.810000, 12.479590
2022-05-01_13-30-34, 45.700000, 25.000000, 17.000000, 16.870000, 12.479590
2022-05-01_13-30-38, 45.700000, 25.000000, 17.060000, 16.940000, 12.479590
2022-05-01_13-30-42, 45.700000, 25.000000, 17.120000, 17.000000, 12.479590
